life_expectancy,mean_years_schooling,expected_years_schooling,gni_per_capita,hdi_score,hdi_category
77.44,14.37,16.6,34209.22,0.9013,Very High
54.35,2.76,8.12,2403.89,0.432,Low
60.9,3.43,7.53,1409.23,0.4334,Low
82.88,9.98,14.31,58265.89,0.879,Very High
77.87,11.1,16.23,38872.88,0.8698,Very High
74.77,8.96,12.19,25054.42,0.7652,High
56.58,5.02,5.78,2222.61,0.4421,Low
65.85,7.54,10.33,7038.85,0.6248,Medium
52.69,4.5,5.58,476.17,0.3307,Low
81.85,13.1,15.4,62646.92,0.9284,Very High
60.93,5.95,8.36,8385.17,0.566,Medium
71.49,6.81,11.25,33145.48,0.7208,High
73.23,9.3,11.05,11460.64,0.7126,High
54.05,1.85,8.3,2945.69,0.4276,Low
77.1,12.29,15.04,49125.16,0.8796,Very High
61.0,7.57,9.44,5171.73,0.5783,Medium
67.18,7.67,13.12,29327.43,0.7283,High
54.09,2.66,3.49,2697.61,0.3645,Low
62.85,6.34,10.2,8597.58,0.6031,Medium
63.3,6.04,11.55,9296.75,0.6199,Medium
59.0,1.76,5.17,1705.85,0.3733,Low
74.53,9.74,12.52,28810.84,0.7844,High
75.23,7.73,12.37,26559.33,0.7553,High
70.24,10.31,15.73,20609.97,0.786,High
74.9,12.33,17.33,52426.38,0.8933,Very High
59.08,5.1,12.03,6272.57,0.5744,Medium
67.47,4.15,10.36,8881.78,0.5953,Medium
71.88,10.92,14.94,19029.81,0.79,High
73.18,8.81,12.9,28821.51,0.7698,High
58.1,3.92,6.98,995.38,0.4042,Low
70.34,10.56,12.02,12226.69,0.7278,High
58.55,4.37,8.83,4015.42,0.5057,Low
53.43,5.76,9.2,447.59,0.3735,Low
70.18,8.65,13.38,10349.41,0.7095,High
60.42,4.74,7.95,2759.12,0.4906,Low
54.01,4.61,6.09,1397.7,0.4067,Low
77.23,11.21,15.26,47645.32,0.8681,Very High
77.95,9.19,12.81,20998.93,0.7812,High
49.61,4.64,5.46,2753.06,0.412,Low
58.24,8.65,8.93,10278.28,0.6044,Medium
48.33,4.05,4.84,2011.47,0.3763,Low
50.79,3.7,8.35,1726.62,0.4168,Low
67.5,5.81,11.24,8316.38,0.6273,Medium
80.14,10.94,14.56,39365.04,0.8627,Very High
86.35,14.42,16.42,48236.58,0.9562,Very High
67.52,6.61,9.27,6899.33,0.6069,Medium
72.08,7.92,10.82,30206.03,0.7308,High
69.28,10.43,11.88,32345.91,0.7655,High
48.5,1.88,7.72,928.76,0.3447,Low
72.02,12.62,17.66,40154.64,0.8708,Very High
84.01,14.25,13.66,37918.73,0.9104,Very High
60.07,0.94,5.59,2437.9,0.3815,Low
83.04,12.91,14.3,34857.59,0.8919,Very High
80.85,11.98,15.22,71368.28,0.9141,Very High
72.3,9.08,12.71,20977.06,0.7524,High
51.02,2.49,5.93,1527.41,0.3652,Low
52.63,2.65,4.96,2151.62,0.3747,Low
78.17,15.0,16.33,52954.85,0.9316,Very High
69.7,5.5,10.48,9803.5,0.6311,Medium
47.35,1.02,5.47,768.62,0.2889,Low
58.02,4.29,11.86,3593.7,0.5307,Low
50.44,3.7,8.0,1567.65,0.4067,Low
68.0,11.15,14.84,23316.57,0.7811,High
81.27,10.18,16.46,48409.41,0.8884,Very High
45.37,1.7,5.44,2086.7,0.3338,Low
81.68,12.64,17.1,66462.12,0.9417,Very High
52.74,3.62,7.64,1796.15,0.4183,Low
53.98,3.16,4.07,1646.27,0.3641,Low
66.03,10.67,12.95,15350.25,0.7276,High
80.96,15.0,15.04,48510.88,0.9298,Very High
67.15,4.6,11.9,5859.33,0.5997,Medium
47.42,3.17,7.5,1372.11,0.3741,Low
54.82,4.54,5.68,2916.62,0.4384,Low
57.43,1.29,5.01,466.01,0.29,Low
84.57,13.74,14.22,41099.36,0.9167,Very High
58.56,0.49,4.56,3421.05,0.3565,Low
49.8,2.69,6.33,1210.37,0.358,Low
56.69,4.14,9.36,1140.33,0.4356,Low
82.5,12.84,14.73,44424.01,0.905,Very High
73.05,7.83,12.48,30935.1,0.7545,High
71.78,10.8,12.69,24356.61,0.7781,High
78.86,11.01,17.4,44491.81,0.8918,Very High
61.26,3.41,8.55,3427.03,0.4918,Low
74.65,9.47,12.55,18216.7,0.7601,High
75.29,11.66,16.03,46377.27,0.8697,Very High
82.95,11.03,15.63,45265.15,0.8951,Very High
79.56,11.83,15.27,52196.47,0.8917,Very High
77.85,12.86,16.05,38017.12,0.8872,Very High
47.79,1.66,5.18,2977.8,0.352,Low
62.65,5.03,10.84,8192.26,0.5893,Medium
72.66,11.65,13.09,31843.84,0.8095,Very High
85.01,11.97,17.64,58849.26,0.9497,Very High
53.41,2.11,5.64,2654.03,0.3867,Low
81.53,10.67,13.79,61032.66,0.8783,Very High
61.95,3.22,3.99,3147.41,0.4185,Low
72.83,12.9,15.78,63033.36,0.8824,Very High
49.88,4.22,7.43,1557.37,0.4044,Low
60.85,2.83,6.27,329.23,0.312,Low
50.99,4.59,4.05,3019.57,0.4025,Low
59.29,2.91,6.13,2107.05,0.4206,Low
77.37,11.56,13.99,12372.89,0.7923,High
79.32,15.0,18.06,46069.46,0.9456,Very High
84.77,12.35,14.99,47972.39,0.9163,Very High
61.99,7.87,8.56,3479.68,0.5574,Medium
52.36,3.31,5.34,402.5,0.3003,Low
76.06,11.4,15.75,60837.5,0.8805,Very High
64.82,6.53,11.72,21111.06,0.6715,Medium
46.8,1.5,5.09,2793.83,0.341,Low
61.01,3.95,4.27,3324.51,0.4373,Low
73.84,8.31,13.35,20736.15,0.7562,High
61.16,4.64,8.55,11477.38,0.5623,Medium
64.37,6.42,10.44,3918.09,0.5754,Medium
81.84,11.17,15.54,32121.79,0.8737,Very High
75.25,12.23,13.94,35114.48,0.8426,Very High
59.93,3.71,4.25,1424.17,0.3906,Low
77.07,13.8,15.6,56575.22,0.9089,Very High
69.96,7.01,12.9,19033.6,0.7119,High
70.98,9.54,13.33,31428.92,0.7769,High
62.94,7.28,11.52,11738.82,0.6444,Medium
79.81,13.77,15.69,57558.78,0.9246,Very High
78.93,12.44,15.54,37009.76,0.8817,Very High
55.75,4.68,8.18,9138.06,0.5238,Low
47.97,2.5,6.11,3154.5,0.3844,Low
74.66,8.14,13.2,16768.43,0.746,High
69.52,5.87,10.36,10820.66,0.6387,Medium
73.87,7.76,12.24,28129.35,0.7505,High
58.19,3.17,6.35,1092.49,0.3912,Low
51.0,1.84,7.44,3123.3,0.405,Low
73.99,13.32,14.6,50688.96,0.8724,Very High
55.31,4.99,8.94,525.74,0.3837,Low
75.22,14.17,15.18,49499.7,0.8929,Very High
70.65,8.58,10.81,3496.18,0.626,Medium
73.48,12.88,16.2,68184.9,0.8934,Very High
74.14,10.25,13.65,29006.12,0.8012,Very High
68.19,7.1,10.84,20721.18,0.6849,Medium
59.62,4.18,12.27,9418.24,0.5857,Medium
63.67,5.62,8.82,8636.17,0.5804,Medium
68.55,5.09,8.45,4190.93,0.5545,Medium
58.32,1.32,5.11,2916.26,0.3824,Low
80.27,12.92,18.02,54346.55,0.9363,Very High
65.09,4.98,8.58,6103.6,0.5586,Medium
76.51,12.99,15.25,51572.77,0.889,Very High
67.27,4.53,12.01,7122.59,0.6102,Medium
53.37,0.99,7.11,1005.79,0.3455,Low
87.03,11.78,15.98,31692.73,0.8994,Very High
81.17,13.3,13.68,37140.75,0.8847,Very High
59.72,3.54,8.64,453.71,0.3683,Low
58.84,1.88,8.42,1898.17,0.4286,Low
62.84,4.09,12.09,7534.84,0.588,Medium
76.87,11.64,12.09,16823.27,0.7885,High
69.84,8.98,12.57,11621.42,0.7096,High
65.75,7.41,9.39,10259.9,0.6299,Medium
61.81,8.67,10.53,2511.58,0.5669,Medium
57.73,4.56,5.69,1788.34,0.4279,Low
51.41,2.24,5.31,2560.72,0.3746,Low
71.72,8.12,13.83,28830.81,0.7639,High
63.52,6.18,9.07,6171.96,0.5759,Medium
47.94,5.21,3.66,1910.36,0.3751,Low
78.8,10.13,16.29,48477.55,0.874,Very High
71.56,11.07,13.01,31347.98,0.7954,High
50.74,4.11,4.38,1937.1,0.3797,Low
59.68,7.82,9.33,10698.62,0.6074,Medium
70.36,5.23,10.11,6163.36,0.6032,Medium
62.87,6.95,8.87,10071.91,0.6034,Medium
69.45,11.07,13.92,18418.26,0.7679,High
54.63,1.89,6.01,1481.72,0.3682,Low
83.92,10.54,14.52,40391.74,0.8762,Very High
60.87,1.6,4.66,801.65,0.3306,Low
70.66,8.56,15.02,22220.25,0.7646,High
60.39,5.63,12.02,6116.07,0.586,Medium
82.85,12.01,14.36,59773.32,0.907,Very High
59.54,5.33,10.71,6005.25,0.5633,Medium
58.57,2.82,7.0,448.94,0.3387,Low
